n_agents,enstrophy,effort,relative_mse
2,103.7989802362068,1069.0641028576024,591.107821690519
4,86.20127350571939,324.418844096601,490.89352219994885
9,71.51174641216848,418.0780737189739,407.2405388837994
16,62.40084928603953,320.8377917577764,355.3563822030969
25,48.10734048045542,290.9035061235712,273.95861861084995
36,35.08551532790526,256.88424318195666,199.8027580923495
64,17.56007557798007,242.05443027424388,100.0
81,11.363482477440437,238.6715976220692,64.71203627215581
100,7.49533584327083,229.12546710812677,42.683961182204754
121,5.7084903301672565,214.30118606178888,32.50834715840046
144,3.784634145793215,202.49538745177955,21.552493490056836
196,4.946742348730237,230.57809197228568,28.170393269453452
256,6.39450179909278,336.14121891765734,36.41500157955663
324,5.0076052219935825,591.0838570005837,28.516991283756226
400,5.499111530228688,739.1535793438437,31.315990103849252
484,6.071322078931732,885.3861549719834,34.57457829250479
576,6.843213279659805,992.747466326928,38.970295140648695
676,7.846639885733262,1120.364910638419,44.68454506866
784,9.331862233255332,1205.5217838977135,53.14249469949477
900,11.20983059604752,1281.649045104074,63.837029324090096
1024,13.32658656816289,1322.1557901694446,75.89139641787261
