n_agents,mse,effort,relative_mse
4,0.019080182560853566,0.15344835468654477,141.5304609208134
9,0.014919688260919228,0.14611910358434846,110.66929520344608
16,0.013481325812631225,0.13417272426067067,100.0
25,0.00910843296507692,0.13850754041386376,67.56333235817833
36,0.010315685701572184,0.13605844539408726,76.51833243216318
49,0.011976755169266207,0.13652127205729964,88.83959438206499
64,0.011640418956676135,0.13524481719609674,86.3447639976903
81,0.010792222366025528,0.13604677945644666,80.05312323149877
100,0.011628082041218301,0.13506630951860557,86.25325285383622
121,0.01129568568306285,0.13566322536771688,83.78764700189535
144,0.010722784195105195,0.13483767273527333,79.53805392833519
196,0.01133528333797054,0.13439210365713175,84.08136926228748
256,0.01107805040393344,0.13408590942911233,82.17330074134063
324,0.011407823227589469,0.1340883330707475,84.6194460851988
400,0.01116371510377213,0.13422570577837728,82.80873304992282
484,0.011513609338045475,0.13382302384210135,85.40413233880815
576,0.011259773010284734,0.13375548557335074,83.52125871577836
676,0.011274064173667126,0.1336240114551465,83.62726582206015
784,0.011276974234709391,0.13359877100280465,83.64885168893045
900,0.011317236123576352,0.133641108392503,83.94750101635222
1024,0.01128455788756039,0.13347665720307458,83.70510470852511
