n_agents,mse,relative_mse
9,0.021267276257276535,566.2138720584137
16,0.003756050020456314,100.0
25,0.0014412309974431992,38.370921302802756
36,0.000942009617574513,25.0797942637641
49,0.0008459517266601324,22.522376487344
64,0.0007116929045878351,18.947908060643268
81,0.000564061978366226,15.017424562884266
100,0.0005682098562829196,15.127856476572937
121,0.0005669306265190244,15.093798629714447
144,0.0006104714702814817,16.25301758381048
196,0.0008203359902836382,21.840390458484297
256,0.0020093871280550957,53.497347402497574
324,0.0802970826625824,2137.806531469655
400,0.22258539497852325,5926.049806745701
484,0.09178850054740906,2443.7507500567813
576,0.6600080132484436,17571.86431633998
676,1.1277763843536377,30025.595458300806
784,1.23876953125,32980.64521248055
900,1.3105943202972412,34892.887825227095
1024,1.5881574153900146,42282.64817402706
